"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2023-10-16 00:00:00",727338,647269,0,0,2885763,4141302.714285714,3870738.4285714286
"2023-10-17 00:00:00",318155,420051,5011,5042,1999176,3699948,3859194.1428571427
"2023-10-18 00:00:00",377852,616038,30156,13222,3814997,3949408.8571428573,3783039.4285714286
"2023-10-19 00:00:00",603512,585229,35580,3978,2764879,3904435.285714286,3986015.5714285714
"2023-10-20 00:00:00",399823,520212,0,0,2638377,3896676.4285714286,3752607.285714286
"2023-10-21 00:00:00",295157,606331,31638,8284,2675361,3797362,3534743.4285714286
"2023-10-22 00:00:00",415829,449769,16795,12502,2269488,3741832.4285714286,3331002.285714286
"2023-10-23 00:00:00",371421,638367,36584,5576,1709334,3527677.1428571427,3221763.1428571427
"2023-10-24 00:00:00",706982,537669,14581,5341,2821778,3718950.714285714,3030572
"2023-10-25 00:00:00",603279,517792,20594,8885,2526051,3550998.8571428573,3137055.8571428573
"2023-10-26 00:00:00",318959,305610,23600,0,2924521,3490929.1428571427,2939021.5714285714
"2023-10-27 00:00:00",323316,979145,21659,4318,2350502,3508147.5714285714,3304231.4285714286
"2023-10-28 00:00:00",409308,416620,15350,4912,2156667,3420445.4285714286,3267358.4285714286
"2023-10-29 00:00:00",525466,619194,51678,14626,3530278,3645710.8571428573,3425085.8571428573
"2023-10-30 00:00:00",662245,974204,4431,0,2942253,3905975.285714286,3608788.4285714286
"2023-10-31 00:00:00",436775,740645,8528,6326,3101809,3935651.4285714286,3753285.1428571427
"2023-11-01 00:00:00",432542,493304,11769,4189,2297148,3873130.1428571427,3780142.285714286
"2023-11-02 00:00:00",546841,282879,6798,0,2436133,3830267.4285714286,3828528.8571428573
"2023-11-03 00:00:00",352243,566548,22366,4013,3565745,3949121.1428571427,3464351.5714285714
"2023-11-04 00:00:00",395857,969082,11405,0,2100076,4016772.8571428573,3527708.285714286
"2023-11-05 00:00:00",207871,367582,28793,8665,1297382,3612351.5714285714,3630408.1428571427
"2023-11-06 00:00:00",305299,351061,16117,3428,2457298,3405218.5714285714,3483628.1428571427
"2023-11-07 00:00:00",423744,315753,33406,0,1038926,3050610.714285714,3749010.5714285714
"2023-11-08 00:00:00",291446,528865,26495,2880,2035074,3000011.714285714,3703159.1428571427
"2023-11-09 00:00:00",577355,316712,27078,3669,2666357,3045514.5714285714,3761225.8571428573
"2023-11-10 00:00:00",336762,563567,13565,5430,3096462,2974781.8571428573,3979630.5714285714
"2023-11-11 00:00:00",336173,439464,44526,5597,3258746,3061651.5714285714,4025756
"2023-11-12 00:00:00",317589,370021,15179,0,2845653,3295672.8571428573,4050938.1428571427
"2023-11-13 00:00:00",442309,579191,12671,1377,2540840,3358985.1428571427,4064722.285714286
"2023-11-14 00:00:00",515427,296161,4766,2513,3172710,3670377.714285714,3986802.285714286
"2023-11-15 00:00:00",460402,673924,2972,8580,1502045,3636544.1428571427,3820814.5714285714
"2023-11-16 00:00:00",512214,393912,9188,2727,2382202,3594983,3906690.285714286
"2023-11-17 00:00:00",613375,456562,4725,0,2161365,3483588.8571428573,3803750
"2023-11-18 00:00:00",221534,402456,41472,0,2548866,3359277.4285714286,4038247.1428571427
"2023-11-19 00:00:00",405099,955736,35138,14693,2013573,3341534,3774862.4285714286
"2023-11-20 00:00:00",495752,743707,14964,0,1923523,3284613.714285714,3959779.285714286
"2023-11-21 00:00:00",529919,458332,14364,25111,2581061,4029814.4285714286,3970221.5714285714
"2023-11-22 00:00:00",325381,1011796,23084,0,1213340,3913999,4137481.5714285714
"2023-11-23 00:00:00",695746,527093,30861,0,1798717,3663226.4285714286,4051469.4285714286
"2023-11-24 00:00:00",260862,743397,5885,6349,2401516,3590938.8571428573,4123673.1428571427
"2023-11-25 00:00:00",425978,516491,12002,0,1787196,3400987.4285714286,4350258.857142857
"2023-11-26 00:00:00",364520,192120,4437,0,3012244,3517601,4321539.142857143
"2023-11-27 00:00:00",512054,450325,3425,0,3173543,3373670.8571428573,4236833.428571428
"2023-11-28 00:00:00",375970,323396,5350,4409,3186866,3342051.8571428573,4332849.571428572
"2023-11-29 00:00:00",590146,514504,15062,12243,2398118,3478691,4261748.428571428
"2023-11-30 00:00:00",337668,466906,0,0,3281019,3626287.4285714286,4209607.571428572
"2023-12-01 00:00:00",488280,175850,3537,6224,1824505,3494914.1428571427,4075301.4285714286
"2023-12-02 00:00:00",498732,189708,35273,11994,3128324,3655252,3868934.4285714286
"2023-12-03 00:00:00",465303,733900,49228,0,3202455,3780618.5714285714,3808155.1428571427
"2023-12-04 00:00:00",360384,1025014,41005,5678,2542830,3757127.8571428573,4053047.714285714
"2023-12-05 00:00:00",373036,273239,12284,10660,3205496,3754088.714285714,4143222.5714285714
"2023-12-06 00:00:00",686151,197493,13415,4318,1990547,3662924.4285714286,3993717.4285714286
"2023-12-07 00:00:00",580747,881973,20129,3160,3646083,3812424.4285714286,4163872.4285714286
"2023-12-08 00:00:00",268000,590721,8956,0,1725744,3825999.4285714286,4163005.285714286
"2023-12-09 00:00:00",451431,320580,30435,0,3690439,3915835.4285714286,3988173.5714285714
"2023-12-10 00:00:00",294415,597606,7483,9038,2033984,3700355.4285714286,4010770
"2023-12-11 00:00:00",801526,192086,9982,2178,2433655,3623857.5714285714,3712388.5714285714
"2023-12-12 00:00:00",277877,967177,21928,4013,2029677,3541851.285714286,3688954.5714285714
"2023-12-13 00:00:00",825362,504758,7847,12452,2190534,3634569.714285714,3870195.714285714
"2023-12-14 00:00:00",371691,893994,42531,7058,3393617,3574112.285714286,3880827.714285714
"2023-12-15 00:00:00",481441,402737,1617,0,3735908,3863866.8571428573,3976667.4285714286
"2023-12-16 00:00:00",621345,806105,0,0,2550518,3790307.285714286,4133592.285714286
"2023-12-17 00:00:00",401264,255685,35072,5373,3153419,3920062.5714285714,4119368.5714285714
