Rank,Name,Salary
400,Trendon Watford,2019706
400,Zhaire Smith,2019706
400,Greg Brown,2019706
400,Joe Wieskamp,2019706
400,Jontay Porter,2019706
400,Nate Hinton,2019706
400,Xavier Moon,2019706
400,Justin Champagnie,2019706
400,Marques Bolden,2019706
400,Vit Krejci,2019706
400,Daishen Nix,2019706
400,Duane Washington Jr,2019706
400,Mac McClung,2019706
400,Trevelin Queen,2019706
400,David Duke,2019706
400,Sandro Mamukelashvili,2019706
400,Jeff Dowtin,2019706
420,Garrison Mathews,2000000
420,Jaylin Williams,2000000
420,Caleb Houstan,2000000
423,Sam Merrill,1997238
423,Isaiah Joe,1997238
423,Anthony Gill,1997238
426,KJ Martin,1930681
426,Xavier Tillman,1930681
426,Naji Marshall,1930681
429,Carlik Jones,1927896
429,Sam Hauser,1927896
429,Jericho Sims,1927896
429,Jordan Goodwin,1927896
429,Ishmail Wainright,1927896
429,Kessler Edwards,1927896
435,Haywood Highsmith,1902137
436,AJ Green,1901769
437,Jeremiah Robinson-Earl,1900000
438,JT Thor,1836096
438,Isaiah Livers,1836096
438,BJ Boston,1836096
438,Jason Preston,1836096
438,Isaiah Todd,1836096
438,Miles McBride,1836096
438,Aaron Wiggins,1836096
445,EJ Liddell,1801769
445,Jack White,1801769
445,Tre Scott,1801769
445,Quenton Jackson,1801769
445,Sharife Cooper,1801769
445,Buddy Boeheim,1801769
445,Zavier Simpson,1801769
445,Stanley Umude,1801769
445,Jeenathan Williams,1801769
445,Scottie Pippen Jr,1801769
445,Cole Swider,1801769
445,Orlando Robinson,1801769
445,Alondes Williams,1801769
445,Brandon Williams,1801769
445,Ja'Vonte Smart,1801769
445,Chance Comanche,1801769
461,Leonard Miller,1800000
462,Bryce McGowens,1719864
462,Jaden Hardy,1719864
462,Kennedy Chandler,1719864
462,Kenneth Lofton,1719864
462,Josh Minott,1719864
462,Jabari Walker,1719864
462,Christian Koloko,1719864
462,Xavier Cooks,1719864
462,Ryan Rollins,1719864
462,Max Christie,1719864
472,Jalen Pickett,1708143
473,Julian Phillips,1600000
474,Eric Bledsoe,1300000
475,Mouhamed Gueye,1119563
475,Jordan Walsh,1119563
475,Hunter Tyson,1119563
475,Trayce Jackson-Davis,1119563
475,Maxwell Lewis,1119563
475,Andre Jackson Jr,1119563
475,Chris Livingston,1119563
475,Filip Petrusev,1119563
475,Sidy Cissoko,1119563
475,Taylor Funk,1119563
475,Kyler Edwards,1119563
475,Angelo Allegri,1119563
475,Nathan Mensah,1119563
475,Jaylen Sims,1119563
475,Henri Drell,1119563
475,Max Heidegger,1119563
475,Pete Nance,1119563
475,Justin Powell,1119563
475,Dexter Dennis,1119563
475,Jordan Walker,1119563
475,Souley Boum,1119563
475,Armaan Franklin,1119563
475,Andrew Funk,1119563
475,Tosan Evbuomwan,1119563
475,Matthew Mayer,1119563
475,Joshua Obiesie,1119563
475,Damion Baugh,1119563
475,Vincent Valerio-Bodon,1119563
475,Caleb Daniels,1119563
475,Drew Peterson,1119563
475,Jazian Gortman,1119563
475,Drew Timme,1119563
