,Gross,Diff,CapPct,DiffPct,Date,Show,Theater,Avg_Ticket,Top_Ticket,Seats_Sold,Capacity,Performances,Previews
18,1871456.42,-148663.03,97.14,-2.14,12/7/25,Mamma Mia!,Winter Garden Theatre,159.59,398,11727,1509,8,0
19,283007.4,39539.5,92.75,6.61,12/7/25,Marjorie Prime,Helen Hayes Theater,75.03,249,3772,581,0,7
20,1229035.22,-215941.51,96.63,-3.76,12/7/25,Maybe Happy Ending,Belasco Theatre,163.39,575,7522,973,8,0
21,1462261.05,-133161.2,87.7,-1.6,12/7/25,MJ The Musical,Neil Simon Theatre,150.27,369,9731,1387,8,0
22,1162281.4,-11823.1,97.38,-0.97,12/7/25,Moulin Rouge! The Musical,Al Hirschfeld Theatre,114.77,0,10127,1300,8,0
23,792293.5,-54256.5,85.48,-12.98,12/7/25,Oedipus,Studio 54,114.15,327,6941,1015,8,0
24,1235448.5,-25528.22,100,0,12/7/25,"Oh, Mary!",Lyceum Theatre,172.55,425,7160,895,8,0
25,689740.1,-164372.14,81.96,-14.59,12/7/25,Operation Mincemeat,John Golden Theatre,133.15,475,5180,790,8,0
26,1199930.46,-362183.49,93.02,-5.39,12/7/25,The Outsiders,Bernard B. Jacobs Theatre,157.47,497,7620,1024,8,0
27,694723.5,-2533,73.52,-3.9,12/7/25,The Queen of Versailles,St. James Theatre,90.1,249,7711,1311,8,0
28,1269532,-191688,100,0,12/7/25,Ragtime,Vivian Beaumont Theater,150.7,349,8424,1053,8,0
29,752773.9,-39608.1,82,5.52,12/7/25,SIX: The Musical,Lena Horne Theatre,111.31,279,6763,1031,8,0
30,1335047.6,-59843.6,89.41,6.06,12/7/25,Stranger Things: The First Shadow,Marquis Theatre,117.09,305,11402,1594,8,0
31,627565.2,-16128.84,72.77,-0.96,12/7/25,Two Strangers (Carry a Cake Across New York),Longacre Theatre,102.96,375,6095,1047,8,0
32,1313436.05,-71326.25,98.51,-1.49,12/7/25,Waiting for Godot,Hudson Theatre,171.11,599,7676,974,8,0
33,2700183,-311906,100,0,12/7/25,Wicked,Gershwin Theatre,175.25,277,15408,1926,8,0
0,999606.2,299071.7,95.61,15.04,11/30/25,& Juliet,Stephen Sondheim Theatre,127.37,348,7848,1026,8,0
1,1715134.9,593087.4,96.74,4.82,11/30/25,Aladdin,New Amsterdam Theatre,128.33,249.5,13365,1727,8,0
2,1438519.4,-88868.52,94.02,-2.14,11/30/25,Art,Music Box Theatre,170.18,523,8453,999,9,0
3,792257.71,-177059.89,63.19,-19.24,11/30/25,Beetlejuice,Palace Theatre,95.1,299,8331,1648,8,0
4,1111003.9,277873.84,96.94,8.81,11/30/25,The Book of Mormon,Eugene O'Neill Theatre,134.39,299,8267,1066,8,0
