DBN,School Name,School Code,Borough,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
21K281,I.S. 281 Joseph B Cavallaro,K281,K,"$1,995.48 ","$37,421.49 ","$30,511.09 ","$6,910.40 ",557,41.40%,81,6.00%,317,23.60%,8,0.60%,383,28.50%,71.50%,233,17.30%,229,17.00%,1117,83.00%,75.20%,1346,$27.80 
19K290,P.S. 290 Juan Morel Campos,K290,K,$0.00 ,"$12,787.00 ","$8,897.84 ","$3,889.06 ",11,2.40%,98,21.30%,343,74.40%,7,1.50%,2,0.40%,99.60%,105,22.80%,97,21.00%,438,95.00%,86.90%,461,$27.74 
15K131,P.S. 131 Brooklyn,K131,K,"$10,670.20 ","$25,962.45 ","$24,059.89 ","$1,902.56 ",328,35.00%,10,1.10%,513,54.70%,8,0.90%,79,8.40%,91.60%,177,18.90%,290,30.90%,795,84.80%,89.90%,938,$27.68 
01M034,P.S. 034 Franklin D. Roosevelt,M034,M,$49.54 ,"$8,439.93 ","$7,720.16 ",$719.77 ,8,2.60%,102,33.40%,182,59.70%,4,1.30%,9,3.00%,97.00%,114,37.40%,22,7.20%,301,98.70%,94.40%,305,$27.67 
12X536,P.S. 536,X536,X,$200.00 ,"$11,331.75 ","$1,650.00 ","$2,269.00 ",37,8.90%,98,23.60%,261,62.70%,10,2.40%,10,2.40%,97.60%,77,18.50%,78,18.80%,391,94.00%,88.50%,416,$27.24 
21K188,P.S. 188 Michael E. Berdy,K188,K,"$1,677.77 ","$10,614.35 ","$8,903.41 ","$1,710.94 ",17,4.40%,192,49.20%,137,35.10%,14,3.60%,30,7.70%,92.30%,98,25.10%,28,7.20%,344,88.20%,91.00%,390,$27.22 
11X498,P.S./M.S. 11X498 - Van Nest Academy,X498,X,"$19,958.91 ","$17,718.07 ","$15,829.70 ","$21,847.28 ",44,6.70%,74,11.30%,412,63.20%,10,1.50%,112,17.20%,82.80%,139,21.30%,46,7.10%,508,77.90%,69.90%,652,$27.17 
18K276,P.S. 276 Louis Marshall,K276,K,"$2,149.48 ","$16,574.10 ",$0.00 ,"$5,170.58 ",15,2.50%,527,86.30%,24,3.90%,7,1.10%,38,6.20%,93.80%,99,16.20%,89,14.60%,519,84.90%,67.40%,611,$27.13 
20K506,P.S. 506: The School of Journalism & Technology,K506,K,"$3,004.16 ","$21,201.86 ","$16,531.90 ","$4,669.96 ",243,31.00%,6,0.80%,503,64.20%,3,0.40%,29,3.70%,96.30%,148,18.90%,255,32.50%,732,93.40%,89.90%,784,$27.04 
18K763,Brooklyn Science and Engineering Academy,K763,K,$939.13 ,"$8,571.63 ","$7,044.24 ","$1,437.44 ",3,0.90%,295,93.10%,13,4.10%,3,0.90%,3,0.90%,99.10%,49,15.50%,9,2.80%,246,77.60%,57.70%,317,$27.04 
27Q066,P.S. 066 Jacqueline Kennedy Onassis,Q066,Q,"$7,565.62 ","$13,216.30 ","$7,847.22 ","$5,369.08 ",81,16.50%,26,5.30%,316,64.20%,23,4.70%,46,9.30%,90.70%,115,23.40%,144,29.30%,400,81.30%,65.30%,492,$26.86 
25Q020,P.S. 020 John Bowne,Q020,Q,"$12,986.06 ","$32,415.29 ","$28,112.22 ","$4,303.02 ",864,71.20%,47,3.90%,258,21.30%,11,0.90%,33,2.70%,97.30%,154,12.70%,408,33.60%,1080,89.00%,79.60%,1213,$26.72 
28Q048,P.S. 048 William Wordsworth,Q048,Q,"$12,817.13 ","$14,726.55 ","$17,845.73 ","$9,698.05 ",106,18.80%,284,50.40%,131,23.30%,33,5.90%,9,1.60%,98.40%,141,25.00%,67,11.90%,503,89.30%,81.30%,563,$26.16 
28Q349,The Queens School for Leadership and Excellence,Q349,Q,"$2,492.20 ","$11,133.95 ","$2,278.89 ","$2,254.06 ",174,40.70%,79,18.50%,154,36.10%,11,2.60%,9,2.10%,97.90%,62,14.50%,77,18.00%,361,84.50%,77.10%,427,$26.07 
09X053,P.S. 053 Basheer Quisim,X053,X,"$1,236.24 ","$27,034.24 ","$25,849.89 ","$1,184.35 ",15,1.40%,317,30.60%,687,66.20%,4,0.40%,14,1.40%,98.60%,160,15.40%,347,33.50%,943,90.90%,95.10%,1037,$26.07 
01M140,P.S. 140 Nathan Straus,M140,M,$385.00 ,"$10,015.90 ","$9,997.66 ",$18.24 ,17,4.40%,54,14.00%,305,79.20%,0,0.00%,9,2.30%,97.70%,137,35.60%,43,11.20%,321,83.40%,88.50%,385,$26.02 
27Q090,P.S. 090 Horace Mann,Q090,Q,"$10,328.26 ","$21,031.96 ","$18,667.33 ","$2,364.63 ",253,31.20%,32,4.00%,466,57.50%,27,3.30%,32,4.00%,96.00%,150,18.50%,193,23.80%,722,89.10%,71.40%,810,$25.97 
10X315,P.S. 315 Lab School,X315,X,$0.00 ,"$5,910.87 ","$5,692.78 ",$218.09 ,4,1.70%,33,14.30%,191,83.00%,1,0.40%,1,0.40%,99.60%,47,20.40%,31,13.50%,216,93.90%,91.30%,230,$25.70 
11X169,Baychester Academy,X169,X,$273.99 ,"$10,873.00 ","$9,633.09 ","$1,239.91 ",11,2.60%,297,70.00%,101,23.80%,8,1.90%,7,1.70%,98.30%,76,17.90%,24,5.70%,342,80.70%,71.30%,424,$25.64 
01M064,P.S. 064 Robert Simon,M064,M,"$2,084.79 ","$5,712.50 ","$6,259.00 ","$1,538.29 ",7,3.10%,41,18.40%,159,71.30%,4,1.80%,12,5.40%,94.60%,62,27.80%,6,2.70%,192,86.10%,89.60%,223,$25.62 
75X596,P.S. X596,X596,X,"$1,418.00 ","$10,339.93 ","$8,654.23 ","$1,685.70 ",11,2.70%,160,39.40%,210,51.70%,3,0.70%,22,5.40%,94.60%,406,100.00%,38,9.40%,320,78.80%,82.10%,406,$25.47 
11X097,P.S. 097 Bronx,X097,X,"$5,234.76 ","$15,434.26 ","$12,158.60 ","$3,275.66 ",107,17.60%,177,29.20%,228,37.60%,10,1.60%,85,14.00%,86.00%,125,20.60%,49,8.10%,470,77.40%,65.20%,607,$25.43 
09X170,P.S. 170,X170,X,"$1,058.84 ","$5,995.00 ","$6,530.14 ",$523.70 ,4,1.70%,55,23.30%,172,72.90%,3,1.30%,2,0.80%,99.20%,44,18.60%,65,27.50%,201,85.20%,90.30%,236,$25.40 
20K030,P.S./I.S. 30 Mary White Ovington,K030,K,"$8,118.93 ","$25,151.22 ","$25,579.49 ","$7,690.66 ",234,23.50%,7,0.70%,303,30.50%,16,1.60%,434,43.70%,56.30%,187,18.80%,213,21.40%,785,79.00%,75.80%,994,$25.30 
13K067,P.S. 067 Charles A. Dorsey,K067,K,$167.64 ,"$5,487.25 ","$4,782.00 ",$705.00 ,9,4.10%,133,61.30%,66,30.40%,3,1.40%,6,2.80%,97.20%,70,32.30%,18,8.30%,213,98.20%,93.30%,217,$25.29 
27Q060,P.S. 060 Woodhaven,Q060,Q,"$1,044.27 ","$29,690.47 ","$23,900.99 ","$5,789.48 ",205,17.40%,35,3.00%,853,72.50%,48,4.10%,36,3.10%,96.90%,180,15.30%,208,17.70%,968,82.20%,72.90%,1177,$25.23 
09X073,P.S. 073 Bronx,X073,X,$835.98 ,"$14,431.91 ","$14,502.91 ",$193.13 ,0,0.00%,136,23.70%,428,74.60%,3,0.50%,7,1.20%,98.80%,119,20.70%,144,25.10%,545,94.90%,96.00%,574,$25.14 
31R455,Tottenville High School,R455,R,"$14,638.48 ","$91,767.42 ","$72,394.48 ","$19,372.94 ",197,5.40%,58,1.60%,414,11.30%,61,1.70%,2924,80.00%,20.00%,759,20.80%,58,1.60%,1240,33.90%,31.10%,3654,$25.11 
04M057,James Weldon Johnson,M057,M,"$4,656.24 ","$20,151.24 ","$16,198.50 ","$3,952.74 ",35,4.30%,196,24.30%,549,68.20%,13,1.60%,12,1.50%,98.50%,222,27.60%,91,11.30%,705,87.60%,93.50%,805,$25.03 
05M092,P.S. 092 Mary McLeod Bethune,M092,M,$362.83 ,"$6,408.92 ","$6,455.20 ",$46.08 ,2,0.80%,162,62.50%,88,34.00%,3,1.20%,4,1.50%,98.50%,93,35.90%,18,6.90%,255,98.50%,95.40%,259,$24.74 
31R022,P.S. 022 Graniteville,R022,R,"$16,107.84 ","$23,070.69 ","$6,513.73 ","$16,556.96 ",85,9.10%,201,21.50%,532,57.00%,27,2.90%,88,9.40%,90.60%,260,27.90%,160,17.10%,803,86.10%,77.70%,933,$24.73 
31R064,Gaynor McCown Expeditionary Learning School,R064,R,"$1,386.79 ","$10,556.25 ","$7,543.16 ","$3,013.09 ",9,2.10%,39,9.00%,96,22.10%,32,7.40%,258,59.40%,40.60%,116,26.70%,3,0.70%,189,43.50%,37.60%,434,$24.32 
