,Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
421,422,Oshkosh,"$6,856.80 ",-0.182,$324.50 ,-0.44,"$5,815.90 ","$8,114.50 ",-45,14400,-45,281
422,423,FM Global,"$6,798 ",0.008,"$1,731.90 ",-0.301,"$27,975.70 ",-,24,5625,24,-
423,424,Booking Holdings,"$6,796 ",-0.549,$59 ,-0.988,"$21,874 ","$95,434.40 ",-214,20199,-214,290
424,425,Williams-Sonoma,"$6,783.20 ",0.15,$680.70 ,0.912,"$4,661.40 ","$13,653.80 ",64,16600,64,343
425,426,Coty,"$6,737.90 ",-0.221,"($1,006.70)",-,"$16,728.80 ","$6,908.80 ",-60,18260,-60,165
426,427,Clorox,"$6,721 ",0.082,$939 ,0.145,"$6,213 ","$24,262.60 ",47,8800,47,155
427,428,Pioneer Natural Resources,"$6,685 ",-0.283,($200),-1.259,"$19,229 ","$34,397.30 ",-87,1853,-87,206
428,429,Dover,"$6,683.80 ",-0.063,$683.50 ,0.008,"$9,152.10 ","$19,727.10 ",4,23000,4,263
429,430,CMS Energy,"$6,680 ",-0.024,$755 ,0.11,"$29,666 ","$17,718.70 ",13,8493,13,197
430,431,Zoetis,"$6,675 ",0.066,"$1,638 ",0.092,"$13,609 ","$74,829.20 ",41,11300,41,381
431,432,Hanesbrands,"$6,664.40 ",-0.043,($75.60),-1.126,"$7,698.90 ","$6,865 ",4,61000,4,330
432,433,Packaging Corp. of America,"$6,658.20 ",-0.044,$461 ,-0.338,"$7,433.20 ","$12,775 ",4,15200,4,390
433,434,Regions Financial,"$6,655 ",-0.015,"$1,094 ",-0.308,"$147,389 ","$19,847.50 ",12,19406,12,89
434,435,Graphic Packaging Holding,"$6,559.90 ",0.065,$167.30 ,-0.191,"$7,804.60 ","$4,862.40 ",42,18775,42,337
435,436,UGI,"$6,559 ",-0.104,$532 ,1.077,"$13,985 ","$8,552.80 ",-13,11300,-13,287
436,437,Sprouts Farmers Market,"$6,468.80 ",0.148,$287.50 ,0.921,"$2,806.40 ","$3,139.90 ",65,33000,-,176
437,438,Avantor,"$6,393.60 ",0.058,$116.60 ,2.085,"$9,906.50 ","$16,631.40 ",46,12400,46,303
438,439,Veritiv,"$6,345.60 ",-0.172,$34.20 ,-,"$2,335 ",$679.50 ,-27,6400,-27,399
439,440,Rockwell Automation,"$6,329.80 ",-0.055,"$1,023.40 ",0.471,"$7,264.70 ","$30,832.20 ",12,23500,12,223
440,441,MasTec,"$6,321 ",-0.12,$322.80 ,-0.177,"$5,227.80 ","$6,953.40 ",-11,18000,-11,322
441,442,DCP Midstream,"$6,302 ",-0.174,($306),-19,"$12,957 ","$4,513.10 ",-29,1837,-29,-
442,443,Northern Trust,"$6,301.10 ",-0.086,"$1,209.30 ",-0.19,"$170,003.90 ","$21,854.20 ",-3,20900,-3,201
443,444,M&T Bank,"$6,281.20 ",-0.095,"$1,353.20 ",-0.299,"$142,601.10 ","$19,502.20 ",-6,17046,-6,252
444,445,Realogy Holdings,"$6,221 ",0.06,($360),-,"$6,934 ","$1,767.40 ",45,9335,45,386
445,446,NCR,"$6,207 ",-0.102,($79),-1.14,"$8,414 ","$4,943.20 ",-7,36000,-7,343
446,447,T. Rowe Price,"$6,206.70 ",0.105,"$2,372.70 ",0.113,"$10,659 ","$39,031 ",57,7678,-,119
447,448,Vertex Pharmaceuticals,"$6,205.70 ",0.491,"$2,711.60 ",1.304,"$11,751.80 ","$55,862.80 ",178,3400,-,98
448,449,Big Lots,"$6,199.20 ",0.165,$629.20 ,1.595,"$4,037.30 ","$2,394.30 ",77,23900,-,399
449,450,Ralph Lauren,"$6,159.80 ",-0.024,$384.30 ,-0.108,"$7,279.90 ","$9,005.30 ",19,19300,19,87
450,451,Ulta Beauty,"$6,152 ",-0.168,$175.80 ,-0.751,"$5,090 ","$17,377.10 ",-33,26500,-33,399
451,452,Taylor Morrison Home,"$6,129.30 ",0.287,$243.40 ,-0.044,"$7,738 ","$3,969.20 ",115,2700,-,291
452,453,Icahn Enterprises,"$6,123 ",-0.319,"($1,653)",-,"$24,987 ","$12,964.70 ",-101,23833,-101,-
453,454,Blackstone Group,"$6,101.90 ",-0.168,"$1,045.40 ",-0.49,"$26,269.30 ","$50,966.60 ",-34,3165,-34,243
454,455,O-I Glass,"$6,091 ",-0.09,$249 ,-,"$8,882 ","$2,327.10 ",-2,25000,-2,-
455,456,Fortune Brands Home & Security,"$6,090.30 ",0.057,$553.10 ,0.281,"$7,358.70 ","$13,264.20 ",38,27505,38,336
456,457,NOV,"$6,090 ",-0.282,"($2,542)",-,"$9,929 ","$5,326.30 ",-83,27631,-83,454
457,458,Ovintiv,"$6,087 ",-0.095,"($6,097)",-27.056,"$14,469 ","$6,219.60 ",-9,1916,-9,339
458,459,Alexion Pharmaceuticals,"$6,069.90 ",0.216,$603.40 ,-0.749,"$18,103 ","$33,596.10 ",88,3837,-,329
459,460,Huntsman,"$6,025 ",-0.278,"$1,034 ",0.84,"$8,713 ","$6,390.10 ",-78,9000,-78,383
460,461,Equinix,"$5,998.50 ",0.078,$369.80 ,-0.271,"$27,006.80 ","$60,679.10 ",48,10013,-,319
