player_id,game_id,team_id,timeOnIce,assists,goals,shots,hits,powerPlayGoals,powerPlayAssists,penaltyMinutes,faceOffWins,faceoffTaken,takeaways,giveaways,shortHandedGoals,shortHandedAssists,blocked,plusMinus,evenTimeOnIce,shortHandedTimeOnIce,powerPlayTimeOnIce
8479323,141331439748,210,79398,34,8,125,35.0,1,12,32,0,0,57.0,61.0,0,0,92.0,22,70528,544,8326
8479324,121141238636,180,59640,13,1,47,94.0,0,0,47,0,0,28.0,25.0,0,0,70.0,16,51765,7772,103
8479325,135274375742,402,93116,27,5,101,131.0,1,1,41,0,0,37.0,68.0,0,1,131.0,24,80387,7309,5420
8479328,34323353658,96,8446,3,0,10,15.0,0,0,8,1,3,3.0,7.0,0,0,7.0,1,8369,3,74
8479333,56532567224,84,26854,5,0,23,24.0,0,0,12,0,0,8.0,17.0,0,0,44.0,-4,25171,1522,161
8479335,58551594611,203,18851,2,1,36,20.0,0,0,6,49,114,5.0,7.0,0,1,7.0,-4,15708,3087,56
8479336,26247265638,338,9956,4,0,16,29.0,0,0,8,0,0,0.0,4.0,0,0,4.0,2,9615,0,341
8479337,141331438626,1120,73474,27,18,207,58.0,10,6,15,7,20,41.0,37.0,0,0,19.0,-10,58821,54,14599
8479339,137293397112,3536,79193,35,28,226,97.0,8,8,22,10,27,41.0,57.0,0,0,35.0,8,66019,10,13164
8479343,141331436985,3710,68440,27,17,184,20.0,2,13,28,8,21,34.0,32.0,0,0,13.0,-6,57029,83,11328
8479345,127198289960,3339,84803,14,12,149,75.0,5,3,38,0,0,27.0,52.0,0,0,95.0,4,70814,5687,8302
8479346,90855931277,900,34273,10,6,60,59.0,1,1,6,0,2,17.0,16.0,0,0,13.0,0,32381,428,1464
8479347,14133146335,154,4359,1,0,5,3.0,0,0,0,1,1,2.0,3.0,0,0,1.0,-1,4188,0,171
8479348,8076082428,104,3494,0,0,2,1.0,0,0,2,0,0,0.0,1.0,0,0,4.0,-3,3441,0,53
